道路名称,日期,时,分,路况整体评价,路况整体描述,拥堵路段,路段拥堵评价,较十分钟前拥堵趋势,拥堵距离,平均通行速度,,,,
G312,2019/4/30,20,55,1,畅通,"东向西,从甘肃省钱币博物馆到平凉路",3,加重,160,18.6,,4/30 20:55,,55
G312,2019/4/30,21,5,1,畅通,"东向西,东岗东路附近",3,加重,290,22.58,,4/30 21:05,,05
G312,2019/4/30,21,15,1,畅通,"北向南,沪霍线附近",3,加重,100,18.84,,4/30 21:15,,15
G312,2019/4/30,21,25,1,畅通,"北向南,薇乐大道附近",3,加重,330,18.6,,4/30 21:25,,25
G312,2019/4/30,21,35,1,畅通,"北向南,G312附近",3,加重,610,23.23,,4/30 21:35,,35
G312,2019/4/30,21,45,1,畅通,"北向东,金川大道附近",2,加重,140,24.16,,4/30 21:45,,45
G312,2019/4/30,21,55,1,畅通,,,,0,,,4/30 21:55,,55
G312,2019/4/30,22,5,1,畅通,"西向东,东岗东路附近",2,加重,160,24.43,,4/30 22:05,,05
G312,2019/4/30,22,15,1,畅通,"北向南,沪霍线附近",3,加重,550,21.47,,4/30 22:15,,15
G312,2019/4/30,22,25,1,畅通,"西向东,天水南路附近",3,加重,110,18.6,,4/30 22:25,,25
G312,2019/4/30,22,35,1,畅通,,,,0,,,4/30 22:35,,35
G312,2019/4/30,22,45,1,畅通,,,,0,,,4/30 22:45,,45
G312,2019/4/30,22,55,1,畅通,"北向南,G312附近",3,加重,610,16.67,,4/30 22:55,,55
G312,2019/4/30,23,5,1,畅通,"西向东,沪霍线附近",3,加重,150,23.83,,4/30 23:05,,05
G312,2019/4/30,23,15,1,畅通,"北向南,沪霍线附近",3,加重,140,19.94,,4/30 23:15,,15
G312,2019/4/30,23,25,1,畅通,"北向南,G312附近",4,加重,980,16.88,,4/30 23:25,,25
G312,2019/4/30,23,35,1,畅通,"南向北,G312附近",4,加重,980,3.99,,4/30 23:35,,35
G312,2019/4/30,23,45,1,畅通,"南向北,沪霍线附近",4,加重,710,3.05,,4/30 23:45,,45
G312,2019/4/30,23,55,1,畅通,"南向北,沪霍线附近",4,加重,360,4.56,,4/30 23:55,,55
G312,2019/5/1,0,5,1,畅通,,,,0,,,5/1 0:05,,05
G312,2019/5/1,0,15,1,畅通,"北向南,G312附近",4,加重,610,2.75,,5/1 0:15,,15
G312,2019/5/1,0,25,1,畅通,,,,0,,,5/1 0:25,,25
G312,2019/5/1,0,35,1,畅通,,,,0,,,5/1 0:35,,35
G312,2019/5/1,0,45,1,畅通,,,,0,,,5/1 0:45,,45
G312,2019/5/1,0,55,1,畅通,,,,0,,,5/1 0:55,,55
G312,2019/5/1,1,5,1,畅通,,,,0,,,5/1 1:05,,05
G312,2019/5/1,1,15,1,畅通,,,,0,,,5/1 1:15,,15
G312,2019/5/1,1,25,1,畅通,,,,0,,,5/1 1:25,,25
G312,2019/5/1,1,35,1,畅通,,,,0,,,5/1 1:35,,35
G312,2019/5/1,1,45,1,畅通,,,,0,,,5/1 1:45,,45
G312,2019/5/1,1,55,1,畅通,,,,0,,,5/1 1:55,,55
G312,2019/5/1,2,5,1,畅通,,,,0,,,5/1 2:05,,05
G312,2019/5/1,2,15,1,畅通,,,,0,,,5/1 2:15,,15
G312,2019/5/1,2,26,1,畅通,,,,0,,,5/1 2:26,,26
G312,2019/5/1,2,36,1,畅通,,,,0,,,5/1 2:36,,36
G312,2019/5/1,2,46,1,畅通,,,,0,,,5/1 2:46,,46
G312,2019/5/1,2,56,1,畅通,,,,0,,,5/1 2:56,,56
G312,2019/5/1,3,6,1,畅通,,,,0,,,5/1 3:06,,06
G312,2019/5/1,3,16,1,畅通,,,,0,,,5/1 3:16,,16
G312,2019/5/1,3,26,1,畅通,,,,0,,,5/1 3:26,,26
G312,2019/5/1,3,36,1,畅通,"北向南,从和平大道到柳沟河桥",3,加重,190,23.76,,5/1 3:36,,36
G312,2019/5/1,3,46,1,畅通,,,,0,,,5/1 3:46,,46
G312,2019/5/1,3,56,1,畅通,,,,0,,,5/1 3:56,,56
G312,2019/5/1,4,6,1,畅通,"西向东,沪霍线附近",3,加重,100,17.92,,5/1 4:06,,06
G312,2019/5/1,4,16,1,畅通,"西向东,沪霍线附近",3,加重,390,21.74,,5/1 4:16,,16
G312,2019/5/1,4,26,1,畅通,,,,0,,,5/1 4:26,,26
G312,2019/5/1,4,36,1,畅通,,,,0,,,5/1 4:36,,36
G312,2019/5/1,4,46,1,畅通,,,,0,,,5/1 4:46,,46
G312,2019/5/1,4,56,1,畅通,"北向南,沪霍线附近",3,加重,160,22.06,,5/1 4:56,,56
G312,2019/5/1,5,6,1,畅通,,,,0,,,5/1 5:06,,06
G312,2019/5/1,5,16,1,畅通,,,,0,,,5/1 5:16,,16
G312,2019/5/1,5,26,1,畅通,,,,0,,,5/1 5:26,,26
G312,2019/5/1,5,36,1,畅通,,,,0,,,5/1 5:36,,36
G312,2019/5/1,5,46,1,畅通,,,,0,,,5/1 5:46,,46
G312,2019/5/1,5,56,1,畅通,,,,0,,,5/1 5:56,,56
G312,2019/5/1,6,6,1,畅通,,,,0,,,5/1 6:06,,06
G312,2019/5/1,6,16,1,畅通,,,,0,,,5/1 6:16,,16
G312,2019/5/1,6,26,1,畅通,,,,0,,,5/1 6:26,,26
G312,2019/5/1,6,36,1,畅通,,,,0,,,5/1 6:36,,36
G312,2019/5/1,6,46,1,畅通,,,,0,,,5/1 6:46,,46
G312,2019/5/1,6,56,1,畅通,,,,0,,,5/1 6:56,,56
G312,2019/5/1,7,6,1,畅通,"北向南,从薇乐大道到Y271",2,加重,160,23.84,,5/1 7:06,,06
G312,2019/5/1,7,16,1,畅通,"东向西,从荣兰线到高科路",4,加重,280,7.57,,5/1 7:16,,16
G312,2019/5/1,7,26,1,畅通,,,,0,,,5/1 7:26,,26
G312,2019/5/1,7,36,1,畅通,"东向西,从荣兰线到高科路",2,加重,280,20.84,,5/1 7:36,,36
G312,2019/5/1,7,46,1,畅通,"东向西,从荣兰线到高科路",2,加重,280,20.31,,5/1 7:46,,46
G312,2019/5/1,7,56,1,畅通,"东向西,从荣兰线到高科路",4,加重,280,5.36,,5/1 7:56,,56
G312,2019/5/1,8,6,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,15.15,,5/1 8:06,,06
G312,2019/5/1,8,16,1,畅通,"北向南,从薇乐大道到Y271",3,加重,160,18.72,,5/1 8:16,,16
G312,2019/5/1,8,26,1,畅通,"北向南,从薇乐大道到Y271",2,加重,160,24.73,,5/1 8:26,,26
G312,2019/5/1,8,36,1,畅通,"西向东,沪霍线附近",3,加重,120,15.61,,5/1 8:36,,36
G312,2019/5/1,8,47,1,畅通,"西向东,东岗东路附近",3,加重,150,21.17,,5/1 8:47,,47
G312,2019/5/1,8,57,1,畅通,"东向西,从西平路到高科路",4,加重,1550,8.58,,5/1 8:57,,57
G312,2019/5/1,9,7,1,畅通,"南向北,从零三一专道到G312",3,加重,110,18.62,,5/1 9:07,,07
G312,2019/5/1,9,17,1,畅通,"东向北,沪霍线附近",4,加重,1350,10.91,,5/1 9:17,,17
G312,2019/5/1,9,27,1,畅通,"西向东,天水南路附近",2,加重,110,24.63,,5/1 9:27,,27
G312,2019/5/1,9,37,1,畅通,沪霍线,3,加重,130,19.98,,5/1 9:37,,37
G312,2019/5/1,9,47,1,畅通,"西向南,青龙路附近",2,加重,540,18.97,,5/1 9:47,,47
G312,2019/5/1,9,57,1,畅通,"北向南,G312附近",3,加重,510,23.58,,5/1 9:57,,57
G312,2019/5/1,10,7,1,畅通,"东向西,从东岗西路到平凉路",3,加重,210,18.6,,5/1 10:07,,07
G312,2019/5/1,10,17,1,畅通,沪霍线,3,加重,110,18.6,,5/1 10:17,,17
G312,2019/5/1,10,27,1,畅通,沪霍线,3,加重,750,18.79,,5/1 10:27,,27
G312,2019/5/1,10,37,1,畅通,"西向南,沪霍线附近",3,加重,950,24.09,,5/1 10:37,,37
G312,2019/5/1,10,47,1,畅通,沪霍线,3,加重,950,19.39,,5/1 10:47,,47
G312,2019/5/1,10,57,1,畅通,沪霍线,3,加重,700,23.72,,5/1 10:57,,57
