道路名称,日期,时,分,路况整体评价,路况整体描述,拥堵路段,路段拥堵评价,较十分钟前拥堵趋势,拥堵距离,平均通行速度,,,
太白东路,2019/4/30,20,55,1,双向畅通,,,,0,,,55,4/30 20:55
太白东路,2019/4/30,21,5,1,双向畅通,,,,0,,,05,4/30 21:05
太白东路,2019/4/30,21,15,1,双向畅通,,,,0,,,15,4/30 21:15
太白东路,2019/4/30,21,25,1,双向畅通,,,,0,,,25,4/30 21:25
太白东路,2019/4/30,21,35,1,双向畅通,,,,0,,,35,4/30 21:35
太白东路,2019/4/30,21,45,1,双向畅通,,,,0,,,45,4/30 21:45
太白东路,2019/4/30,21,55,1,双向畅通,,,,0,,,55,4/30 21:55
太白东路,2019/4/30,22,5,1,双向畅通,,,,0,,,05,4/30 22:05
太白东路,2019/4/30,22,15,1,双向畅通,,,,0,,,15,4/30 22:15
太白东路,2019/4/30,22,25,1,双向畅通,,,,0,,,25,4/30 22:25
太白东路,2019/4/30,22,35,1,双向畅通,,,,0,,,35,4/30 22:35
太白东路,2019/4/30,22,45,1,双向畅通,,,,0,,,45,4/30 22:45
太白东路,2019/4/30,22,55,1,双向畅通,,,,0,,,55,4/30 22:55
太白东路,2019/4/30,23,5,1,双向畅通,,,,0,,,05,4/30 23:05
太白东路,2019/4/30,23,15,1,双向畅通,,,,0,,,15,4/30 23:15
太白东路,2019/4/30,23,25,1,双向畅通,,,,0,,,25,4/30 23:25
太白东路,2019/4/30,23,35,1,双向畅通,,,,0,,,35,4/30 23:35
太白东路,2019/4/30,23,45,1,双向畅通,,,,0,,,45,4/30 23:45
太白东路,2019/4/30,23,55,1,双向畅通,,,,0,,,55,4/30 23:55
太白东路,2019/5/1,0,5,1,双向畅通,,,,0,,,05,5/1 0:05
太白东路,2019/5/1,0,15,1,双向畅通,,,,0,,,15,5/1 0:15
太白东路,2019/5/1,0,25,1,双向畅通,,,,0,,,25,5/1 0:25
太白东路,2019/5/1,0,35,1,双向畅通,,,,0,,,35,5/1 0:35
太白东路,2019/5/1,0,45,1,双向畅通,,,,0,,,45,5/1 0:45
太白东路,2019/5/1,0,55,1,双向畅通,,,,0,,,55,5/1 0:55
