道路名称,日期,时,分,路况整体评价,路况整体描述,拥堵路段,路段拥堵评价,较十分钟前拥堵趋势,拥堵距离,平均通行速度
青兰高速,2019/4/30,20,55,1,双向畅通,,,,,
青兰高速,2019/4/30,21,5,1,双向畅通,,,,,
青兰高速,2019/4/30,21,15,1,双向畅通,"西向东,从三角城收费站到连霍高速",4,加重,580,18.68
青兰高速,2019/4/30,21,25,1,双向畅通,"西向东,连霍高速附近",4,加重,860,10.74
青兰高速,2019/4/30,21,35,1,双向畅通,"西向东,连霍高速附近",4,持平,860,9.98
青兰高速,2019/4/30,21,45,1,双向畅通,"西向东,连霍高速附近",4,持平,1150,10.22
青兰高速,2019/4/30,21,55,1,双向畅通,"西向东,连霍高速附近",4,持平,1150,13.28
青兰高速,2019/4/30,22,5,1,双向畅通,,,,,
青兰高速,2019/4/30,22,15,1,双向畅通,,,,,
青兰高速,2019/4/30,22,25,1,双向畅通,"西向东,连霍高速附近",4,持平,1150,6.28
青兰高速,2019/4/30,22,35,1,双向畅通,"西向东,连霍高速附近",4,缓解,1150,9.51
青兰高速,2019/4/30,22,45,1,双向畅通,,,,,
青兰高速,2019/4/30,22,55,1,双向畅通,,,,,
青兰高速,2019/4/30,23,5,1,双向畅通,,,,,
青兰高速,2019/4/30,23,15,1,双向畅通,,,,,
青兰高速,2019/4/30,23,25,1,双向畅通,"东向西,从柳忠高速到巉柳高速",2,加重,340,54.25
青兰高速,2019/4/30,23,35,1,双向畅通,,,,,
青兰高速,2019/4/30,23,45,1,双向畅通,,,,,
青兰高速,2019/4/30,23,55,1,双向畅通,,,,,
青兰高速,2019/5/1,0,5,1,双向畅通,,,,,
青兰高速,2019/5/1,0,15,1,双向畅通,,,,,
青兰高速,2019/5/1,0,25,1,双向畅通,,,,,
青兰高速,2019/5/1,0,35,1,双向畅通,,,,,
青兰高速,2019/5/1,0,45,1,双向畅通,,,,,
青兰高速,2019/5/1,0,55,1,双向畅通,,,,,
青兰高速,2019/5/1,1,5,1,双向畅通,,,,,
青兰高速,2019/5/1,1,15,1,双向畅通,,,,,
青兰高速,2019/5/1,1,25,1,双向畅通,,,,,
青兰高速,2019/5/1,1,35,1,双向畅通,"东向北,从连霍高速到和平清真寺",2,加重,1090,50.46
青兰高速,2019/5/1,1,45,1,双向畅通,,,,,
青兰高速,2019/5/1,1,55,1,双向畅通,"东向西,从柳忠高速到巉柳高速",2,加重,340,59.2
青兰高速,2019/5/1,2,5,1,双向畅通,,,,,
青兰高速,2019/5/1,2,15,1,双向畅通,,,,,
青兰高速,2019/5/1,2,26,1,双向畅通,,,,,
青兰高速,2019/5/1,2,36,1,双向畅通,,,,,
青兰高速,2019/5/1,2,46,1,双向畅通,,,,,
青兰高速,2019/5/1,2,56,1,双向畅通,,,,,
青兰高速,2019/5/1,3,6,1,双向畅通,,,,,
青兰高速,2019/5/1,3,16,1,双向畅通,,,,,
青兰高速,2019/5/1,3,26,1,双向畅通,,,,,
青兰高速,2019/5/1,3,36,1,双向畅通,,,,,
青兰高速,2019/5/1,3,46,1,双向畅通,,,,,
青兰高速,2019/5/1,3,56,1,双向畅通,,,,,
青兰高速,2019/5/1,4,6,1,双向畅通,,,,,
青兰高速,2019/5/1,4,16,1,双向畅通,,,,,
青兰高速,2019/5/1,4,26,1,双向畅通,,,,,
青兰高速,2019/5/1,4,36,1,双向畅通,,,,,
青兰高速,2019/5/1,4,46,1,双向畅通,"东向西,青兰高速附近",2,加重,750,50.18
青兰高速,2019/5/1,4,56,1,双向畅通,,,,,
青兰高速,2019/5/1,5,6,1,双向畅通,,,,,
青兰高速,2019/5/1,5,16,1,双向畅通,,,,,
青兰高速,2019/5/1,5,26,1,双向畅通,,,,,
青兰高速,2019/5/1,5,36,1,双向畅通,,,,,
青兰高速,2019/5/1,5,46,1,双向畅通,,,,,
青兰高速,2019/5/1,5,56,1,双向畅通,,,,,
青兰高速,2019/5/1,6,6,1,双向畅通,,,,,
青兰高速,2019/5/1,6,16,1,双向畅通,,,,,
青兰高速,2019/5/1,6,26,1,双向畅通,,,,,
青兰高速,2019/5/1,6,36,1,双向畅通,,,,,
青兰高速,2019/5/1,6,46,1,双向畅通,,,,,
青兰高速,2019/5/1,6,56,1,双向畅通,,,,,
青兰高速,2019/5/1,7,6,1,双向畅通,,,,,
青兰高速,2019/5/1,7,16,1,双向畅通,,,,,
青兰高速,2019/5/1,7,26,1,双向畅通,,,,,
青兰高速,2019/5/1,7,36,1,双向畅通,,,,,
青兰高速,2019/5/1,7,46,1,双向畅通,,,,,
青兰高速,2019/5/1,7,56,1,双向畅通,,,,,
青兰高速,2019/5/1,8,6,1,双向畅通,"北向南,柳沟河大桥附近",3,加重,740,36.08
青兰高速,2019/5/1,8,16,1,双向畅通,"西向东,巉柳高速附近",4,加重,710,14.6
青兰高速,2019/5/1,8,26,1,双向畅通,"西向东,连霍高速附近",4,加重,290,16.31
青兰高速,2019/5/1,8,36,1,双向畅通,"西向东,巉柳高速附近",3,持平,860,28.51
青兰高速,2019/5/1,8,46,1,自东向西畅通；自西向东轻微拥堵,"西向东,柳忠高速附近",4,加重,3630,8.75
青兰高速,2019/5/1,8,57,3,自东向西畅通；自西向东拥堵,"北向东,从柳忠高速到连霍高速",4,加重,6300,3.83
青兰高速,2019/5/1,9,7,3,自东向西畅通；自西向东拥堵,"西向东,柳忠高速附近",4,加重,5740,3.36
青兰高速,2019/5/1,9,17,3,自东向西畅通；自西向东拥堵,"西向东,从巉柳高速到柳忠高速",4,加重,5970,2.52
青兰高速,2019/5/1,9,27,3,自东向西畅通；自西向东拥堵,"西向南,从巉柳高速到柳忠高速",4,持平,5290,2.31
青兰高速,2019/5/1,9,37,2,自东向西畅通；自西向东拥堵,,,,,
青兰高速,2019/5/1,9,47,3,自东向西畅通；自西向东拥堵,"西向东,从和平清真寺到柳忠高速",4,加重,6080,2.96
青兰高速,2019/5/1,9,57,3,自东向西畅通；自西向东拥堵,,,,,
青兰高速,2019/5/1,10,7,3,自东向西畅通；自西向东拥堵,"西向东,从柳沟河桥到巉柳高速",4,缓解,7330,3.9
青兰高速,2019/5/1,10,17,3,自东向西畅通；自西向东拥堵,"北向东,从五里铺桥到柳沟河桥",4,缓解,9340,5.93
青兰高速,2019/5/1,10,27,2,自东向西畅通；自西向东拥堵,,,,,
青兰高速,2019/5/1,10,37,2,自东向西畅通；自西向东拥堵,,,,,
青兰高速,2019/5/1,10,47,1,自东向西畅通；自西向东轻微拥堵,"北向南,巉柳高速附近",4,持平,3030,15.17
青兰高速,2019/5/1,10,57,1,自东向西畅通；自西向东缓行,"北向南,从柳忠高速到柳沟河桥",3,缓解,7740,23.3
青兰高速,2019/5/1,11,7,1,自东向西畅通；自西向东缓行,,,,,
青兰高速,2019/5/1,11,17,2,自东向西畅通；自西向东拥堵,"西向东,从柳忠高速到连霍高速",4,加重,7400,10.06
青兰高速,2019/5/1,11,27,1,自东向西畅通；自西向东拥堵,,,,,
青兰高速,2019/5/1,11,37,2,自东向西畅通；自西向东拥堵,,,,,
青兰高速,2019/5/1,11,47,3,自东向西畅通；自西向东拥堵,"西向东,从高端铝合金到柳忠高速",4,加重,4350,2.8
青兰高速,2019/5/1,11,57,3,自东向西畅通；自西向东拥堵,"西向东,从高端铝合金到柳忠高速",4,加重,7000,4.02
青兰高速,2019/5/1,12,7,2,自东向西畅通；自西向东拥堵,"西向南,从巉柳高速到柳忠高速",4,加重,5580,4.74
青兰高速,2019/5/1,12,17,2,自东向西畅通；自西向东拥堵,"北向南,从连霍高速到柳忠高速",4,加重,7290,3.91
青兰高速,2019/5/1,12,27,3,自东向西畅通；自西向东拥堵,"西向东,从柳沟河桥到柳忠高速",4,持平,7000,4.05
青兰高速,2019/5/1,12,37,1,自东向西畅通；自西向东缓行,"西向东,从柳沟河桥到巉柳高速",4,缓解,6980,5.42
青兰高速,2019/5/1,12,47,2,自东向西畅通；自西向东拥堵,"北向东,从柳沟河桥到巉柳高速",4,持平,7360,5.82
青兰高速,2019/5/1,12,57,2,自东向西畅通；自西向东拥堵,"北向南,从柳沟河桥到连霍高速",4,持平,5050,6.06
